course_id,course,rel,major,major_id
82,计算机视觉与模式识别,适用专业,人工智能,3460
82,计算机视觉与模式识别,适用专业,软件工程,2958
83,信息检索与智能问答,适用专业,计算机科学与技术,2957
83,信息检索与智能问答,适用专业,软件工程,2958
83,信息检索与智能问答,适用专业,人工智能,3460
83,信息检索与智能问答,适用专业,网络安全,2958
84,人工智能数据基础,适用专业,人工智能,3460
85,逻辑与形式化方法,适用专业,计算机科学与技术,2957
85,逻辑与形式化方法,适用专业,软件工程专业,2958
86,安全软件工程,适用专业,计算机科学与技术,2957
86,安全软件工程,适用专业,软件工程,2958
86,安全软件工程,适用专业,网络空间安全,2959
87,网络安全综合设计,适用专业,网络空间安全,2959
88,信息安全数学基础,适用专业,计算机科学与技术,2957
88,信息安全数学基础,适用专业,网络空间安全,2959
89,网络协议分析与设计,适用专业,计算机科学与技术,2957
89,网络协议分析与设计,适用专业,软件工程,2958
89,网络协议分析与设计,适用专业,网络空间安全,2959
90,信息系统安全,适用专业,计算机科学与技术,2957
90,信息系统安全,适用专业,软件工程,2958
90,信息系统安全,适用专业,人工智能,3460
90,信息系统安全,适用专业,网络安全,2958
91,密码学原理与实践,适用专业,网络空间安全,2959
92,软件安全,适用专业,计算机科学与技术,2957
92,软件安全,适用专业,软件工程,2958
92,软件安全,适用专业,网络空间安全,2959
93,密码学综合实践,适用专业,网络空间安全,2959
94,逆向工程分析技术,适用专业,网络空间安全,2959
95,物联网安全,适用专业,网络空间安全,2959
96,信息系统安全综合实践,适用专业,计算机科学与技术,2957
96,信息系统安全综合实践,适用专业,人工智能,3460
96,信息系统安全综合实践,适用专业,软件工程,2958
